Municipality,Region,Population,Census,Election Year,Candidate Name,Sex,Age,Position,Winner,ID Number,Size of Council,Number of Votes Obtained,Total Votes in Election,Eligible Voters,Campaign Spending,Type of Election,Incumbent,Years of Service,Acclaimed/Elected,,,,,,
Baie Verte,2,"1,275",2006,2009,"Parsons, Sherry",2,2,3,2,,7,189,343,940,,1,2,0,3,,,,,,
Baie Verte,2,"1,370",2011,2013,"Bailey, Scott",1,3,3,2,,7,238,"1,608",947,,1,1,5,2,,,,,,
Baie Verte,2,"1,370",2011,2013,"Bowers, Rex",1,4,3,2,,7,193,"1,608",947,,1,1,5,2,,,,,,
Baie Verte,2,"1,370",2011,2013,"Brown, Clar",1,2,3,2,,7,236,"1,608",947,,1,2,0,2,,,,,,
Baie Verte,2,"1,370",2011,2013,"Dixon, Bob",1,4,3,2,,7,201,"1,608",947,,1,2,1,2,,,,,,
Baie Verte,2,"1,370",2011,2013,"Furey, Scott",1,5,3,2,,7,226,"1,608",947,,1,2,0,2,,,,,,
Baie Verte,2,"1,370",2011,2013,"Pope, Trevor",1,4,3,2,,7,210,"1,608",947,,1,1,1,2,,,,,,
Baie Verte,2,"1,370",2011,2013,"Barker-Barrett, Joy",2,3,3,1,,7,126,"1,608",947,,1,2,0,3,,,,,,
Baie Verte,2,"1,370",2011,2013,"Sarcey, Lori-Ann",2,3,3,2,,7,178,"1,608",947,,1,2,0,2,,,,,,
Baie Verte,2,"1,313",2016,2017,"Russell, Shawn",1,2,3,1,,7,1,1,1,,4,2,.,1,,,,,,
Baie Verte,2,"1,313",2016,2017,"Philpott, Brandon",1,3,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Baie Verte,2,"1,313",2016,2017,"Furey, Scott",1,3,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Baie Verte,2,"1,313",2016,2017,"Howell, Christopher",1,2,3,1,,7,1,1,1,,4,2,.,1,,,,,,
Baie Verte,2,"1,313",2016,2017,"White, Ryan",1,2,3,1,,7,1,1,1,,4,2,.,1,,,,,,
Baine Harbour,1,134,2006,2009,"Kenway, Harold",1,4,3,1,,5,1,1,1,,1,1,.,1,,,,,,
Baine Harbour,1,134,2006,2009,"Kenway, William",1,4,3,1,,5,1,1,1,,1,1,.,1,,,,,,
Baine Harbour,1,137,2011,2013,"Kenway, Harold",1,.,3,1,,5,1,.,.,,4,1,.,1,,,,,,
Baine Harbour,1,137,2011,2013,"Kenway, William",1,.,3,1,,5,1,.,.,,4,1,.,1,,,,,,
Baine Harbour,1,137,2011,2013,"Smith, Hubert",1,.,3,1,,5,1,.,.,,4,1,.,1,,,,,,
Baine Harbour,1,137,2011,2013,"Upshall, James",1,.,3,1,,5,1,.,.,,4,1,.,1,,,,,,
Baine Harbour,1,124,2016,2017,"Kenway, Harold",1,.,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Baine Harbour,1,124,2016,2017,"Kenway, William",1,.,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Baine Harbour,1,124,2016,2017,"Reid, Hughie",1,.,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Baine Harbour,1,124,2016,2017,"Smith, Hubert",1,.,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Baine Harbour,1,124,2016,2017,"Upshall, James",1,.,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Bauline,1,379,2006,2009,"Dredge, Christopher",1,2,3,1,,5,118,147,268,,1,2,.,1,,,,,,
Bauline,1,379,2006,2009,"LeGrow, Colin",1,2,3,1,,5,109,147,268,,1,2,.,1,,,,,,
Bauline,1,379,2006,2009,"King, Jason",1,2,3,1,,5,82,147,268,,1,2,.,1,,,,,,
Bauline,1,379,2006,2009,"O'Toole, Colleen",2,4,3,2,,5,62,147,268,,1,1,.,3,,,,,,
Bauline,1,379,2006,2009,"LeGrow, Marie",2,4,3,1,,5,85,147,268,,1,2,.,1,,,,,,
Bauline,1,379,2006,2009,"King, Rita",2,5,3,1,,5,69,147,268,,1,1,.,1,,,,,,
Bauline,1,379,2006,2009,"LeGrow, Roschella",2,.,3,2,,5,67,147,268,,1,2,.,3,,,,,,
Bauline,1,452,2016,2017,"Legrow, Craig",1,.,3,1,,5,112,139,289,,1,.,.,2,,,,,,
Bauline,1,452,2016,2017,"Legrow, Ralph",1,.,3,1,,5,85,139,289,,1,.,.,2,,,,,,
Bauline,1,452,2016,2017,"Legrow, Rick",1,.,3,2,,5,67,139,289,,1,.,.,3,,,,,,
Bauline,1,452,2016,2017,"Palmer, Chris",1,.,3,1,,5,90,139,289,,1,.,.,2,,,,,,
Bauline,1,452,2016,2017,"King, Carol",2,.,3,1,,5,103,139,289,,1,.,.,2,,,,,,
Bauline,1,452,2016,2017,"Whalen, Joanne",2,.,3,1,,5,105,139,289,,1,.,.,2,,,,,,
Bauline ,1,397,2011,2013,"LeGrow, Colin",1,.,3,1,,5,112,151,290,,1,1,4,2,,,,,,
Bauline ,1,397,2011,2013,"Auchinleck, Ken",1,4,3,2,,5,48,151,290,,1,2,0,3,,,,,,
Bauline ,1,397,2011,2013,"LeGrow, Craig",1,4,3,1,,5,101,151,290,,1,2,6,2,,,,,,
Bauline ,1,397,2011,2013,"King, Jason",1,.,3,1,,5,99,151,290,,1,1,4,2,,,,,,
Bauline ,1,397,2011,2013,"Dredge, Christopher",1,.,3,1,,5,130,151,290,,1,1,4,2,,,,,,
Bauline ,1,397,2011,2013,"Kelsey, Janice",2,4,3,2,,5,44,151,290,,1,2,0,3,,,,,,
Bauline ,1,397,2011,2013,"King, Carol",2,4,3,1,,5,109,151,290,,1,2,0,2,,,,,,
Bay Bulls,1,"1,078",2006,2009,"Maddox, Aiden",1,.,3,1,,7,284,577,828,,1,1,19,2,,,,,,
Bay Bulls,1,"1,078",2006,2009,"Walsh, Andrew",1,.,3,2,,7,86,577,828,,1,2,0,3,,,,,,
Bay Bulls,1,"1,078",2006,2009,"Drew, Don",1,.,3,1,,7,396,577,828,,1,1,11,2,,,,,,
Bay Bulls,1,"1,078",2006,2009,"Maloney, Douglas",1,.,3,1,,7,274,577,828,,1,2,0,2,,,,,,
Bay Bulls,1,"1,078",2006,2009,"Mullowney, Harlod",1,.,3,1,,7,404,577,828,,1,1,19,2,,,,,,
Bay Bulls,1,"1,078",2006,2009,"O'Brien, Kevin",1,.,3,2,,7,203,577,828,,1,2,0,3,,,,,,
Bay Bulls,1,"1,078",2006,2009,"O'Driscoll, Loyola",1,.,3,1,,7,256,577,828,,1,1,1,2,,,,,,
