Municipality,Region,Population,Census,Election Year,Candidate Name,Sex,Age,Position,Winner,ID Number,Size of Council,Number of Votes Obtained,Total Votes in Election,Eligible Voters,Campaign Spending,Type of Election,Incumbent,Years of Service,Acclaimed/Elected,,,,,,
Musgrave Harbour,2,"1,085",2006,2009,"Dalley, Martin",1,.,3,1,,7,1,1,1,,2,1,8,1,,,,,,
Musgrave Harbour,2,"1,085",2006,2009,"Guy, Ralph",1,.,3,1,,7,1,1,1,,2,1,23,1,,,,,,
Musgrave Harbour,2,"1,085",2006,2009,"Stokes, Raymond",1,.,1,1,,7,1,1,1,,2,1,20,1,,,,,,
Musgrave Harbour,2,"1,085",2006,2009,"Gillam, Sheldon",1,.,3,1,,7,1,1,1,,2,1,4,1,,,,,,
Musgrave Harbour,2,"1,053",2011,2013,"Stokes, Raymond",1,5,1,1,,7,1,384,.,,2,1,22,1,,,,,,
Musgrave Harbour,2,"1,053",2011,2013,"Mouland, Watson",1,5,3,1,,7,1,384,.,,2,1,10,1,,,,,,
Musgrave Harbour,2,"1,053",2011,2013,"Gillam, Sheldon",1,5,3,1,,7,1,384,.,,2,1,8,1,,,,,,
Musgrave Harbour,2,"1,053",2011,2013,"Cuff, Harvey",1,3,3,1,,7,1,384,.,,2,1,4,1,,,,,,
Musgrave Harbour,2,"1,053",2011,2013,"Smith, Bill",1,5,3,2,,7,97,384,.,,2,1,0,2,,,,,,
Musgrave Harbour,2,"1,053",2011,2013,"Tippett, John",1,2,3,1,,7,34,384,.,,2,1,0,3,,,,,,
Musgrave Harbour,2,"1,053",2011,2013,"Mouland, Desmond",1,5,3,1,,7,87,384,.,,2,1,0,2,,,,,,
Musgrave Harbour,2,"1,053",2011,2013,"Mouland, Siobhan",2,2,3,1,,7,1,384,.,,2,2,0,1,,,,,,
Musgrave Harbour,2,"1,053",2011,2013,"Hann, Charamine",2,2,3,1,,7,35,384,.,,2,1,0,3,,,,,,
Musgrave Harbour,2,"1,053",2011,2013,"Abbott, Darlene",2,3,3,2,,7,41,384,.,,2,1,0,3,,,,,,
Musgrave Harbour,2,"1,053",2011,2013,"Tippett, Linda",2,5,3,2,,7,,384,.,,2,1,0,3,,,,,,
Musgrave Harbour,2,"1,053",2011,2013,"Cromwell, Margie",2,4,3,2,,7,85,384,.,,2,1,0,3,,,,,,
Musgrave Harbour,2,990,2016,2017,"Stokes, Raymond",1,5,3,2,,7,83,427,990,,1,1,.,3,,,,,,
Musgrave Harbour,2,990,2016,2017,"Smith, Bill",1,5,3,1,,7,354,427,990,,1,1,.,2,,,,,,
Musgrave Harbour,2,990,2016,2017,"Abbott, Dwight",1,3,3,1,,7,299,427,990,,1,2,.,2,,,,,,
Musgrave Harbour,2,990,2016,2017,"Gillam, Sheldon",1,4,3,1,,7,278,427,990,,1,1,.,2,,,,,,
Musgrave Harbour,2,990,2016,2017,"Mouland, Watson",1,4,3,2,,7,101,427,990,,1,1,.,3,,,,,,
Musgrave Harbour,2,990,2016,2017,"Steele, James",1,3,3,1,,7,272,427,990,,1,2,.,2,,,,,,
Musgrave Harbour,2,990,2016,2017,"Butler, Stephen",1,5,3,1,,7,290,427,990,,1,.,.,2,,,,,,
Musgrave Harbour,2,990,2016,2017,"Croucher, Kelly",2,4,3,1,,7,287,427,990,,1,2,.,2,,,,,,
Musgrave Harbour,2,990,2016,2017,"Cromwell, Margie",2,4,3,1,,7,327,427,990,,1,2,.,2,,,,,,
Musgravetown,1,583,2006,2009,"Fitzgerald, Graham",1,3,3,1,,7,144,202,439,,1,1,4,2,,,,,,
Musgravetown,1,583,2006,2009,"Brown, Jim",1,4,3,1,,7,151,202,439,,1,1,7,2,,,,,,
Musgravetown,1,583,2006,2009,"Humby, Melvin",1,4,3,1,,7,154,202,439,,1,1,12,2,,,,,,
Musgravetown,1,583,2006,2009,"Young, Mike",1,4,3,1,,7,142,202,439,,1,1,4,2,,,,,,
Musgravetown,1,583,2006,2009,"Ivany, Deanne",2,2,3,1,,7,128,202,439,,1,2,0,2,,,,,,
Musgravetown,1,583,2006,2009,"Maeland, Elaine",2,3,3,1,,7,107,202,439,,1,1,3,2,,,,,,
Musgravetown,1,583,2006,2009,"Ash, Eva",2,2,3,2,,7,86,202,439,,1,2,0,3,,,,,,
Musgravetown,1,583,2006,2009,"Greening, Lee ann",2,4,3,1,,7,120,202,439,,1,1,2,2,,,,,,
Musgravetown,1,556,2011,2013,"Fitzgerald, Graham",1,.,3,1,,7,1,.,.,,.,1,8,1,,,,,,
Musgravetown,1,556,2011,2013,"Brown, Jim",1,.,3,1,,7,1,.,.,,.,1,11,1,,,,,,
Musgravetown,1,556,2011,2013,"Humby, Melvin",1,.,3,1,,7,1,.,.,,.,1,16,1,,,,,,
Musgravetown,1,556,2011,2013,"Young, Mike",1,.,3,1,,7,1,.,.,,.,1,8,1,,,,,,
Musgravetown,1,556,2011,2013,"Young, Trevor",1,2,3,1,,7,1,.,.,,.,2,0,1,,,,,,
Musgravetown,1,556,2011,2013,"Maeland, Elaine",2,4,3,1,,7,1,.,.,,.,1,6,1,,,,,,
Musgravetown,1,556,2011,2013,"Ann, Greening, Lee",2,4,3,1,,7,1,.,.,,.,1,7,1,,,,,,
Musgravetown,1,564,2016,2017,"Young, Mike",1,3,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Musgravetown,1,564,2016,2017,"Young, Trevor",1,5,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Musgravetown,1,564,2016,2017,"Brown, Jim",1,5,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Musgravetown,1,564,2016,2017,"Fitzgerald, Graham",1,5,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Musgravetown,1,564,2016,2017,"Humby, Melvin",1,4,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Musgravetown,1,564,2016,2017,"Greening, Lee Ann",2,4,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Musgravetown,1,564,2016,2017,"Maeland, Elaine",2,4,3,1,,7,1,1,1,,4,1,.,1,,,,,,
New Perlican,1,188,2006,2009,"Dunigan, Bill",1,5,3,1,,7,1,1,1,,2,1,2,1,,,,,,
New Perlican,1,188,2006,2009,"Warren, Max",1,5,3,1,,7,1,1,1,,2,1,4,1,,,,,,
New Perlican,1,188,2006,2009,"Moyles, Linda",2,5,3,1,,7,1,1,1,,2,1,4,1,,,,,,
New Perlican,1,188,2006,2009,"Penney, Marg",2,5,3,1,,7,1,1,1,,2,1,4,1,,,,,,
New Perlican,1,188,2006,2009,"McDonald, Marie",2,5,3,1,,7,1,1,1,,2,1,4,1,,,,,,
New Perlican,1,210,2011,2013,"Warren, Max",1,.,3,1,,7,79,106,185,,1,1,8,2,,,,,,
New Perlican,1,210,2011,2013,"Matthews, William",1,.,3,1,,7,93,106,185,,1,1,4,2,,,,,,
New Perlican,1,210,2011,2013,"Peddle, Michael",1,.,3,2,,7,43,106,185,,1,2,0,3,,,,,,
New Perlican,1,210,2011,2013,"Bown, Robert",1,.,3,1,,7,67,106,185,,1,1,4,2,,,,,,
New Perlican,1,210,2011,2013,"Fudge, Steve",1,.,3,1,,7,56,106,185,,1,2,0,2,,,,,,
New Perlican,1,210,2011,2013,"Gosling, Linda",2,5,3,1,,7,75,106,185,,1,2,0,2,,,,,,
New Perlican,1,210,2011,2013,"Penney, Margaret",2,5,3,2,,7,44,106,185,,1,1,8,3,,,,,,
New Perlican,1,210,2011,2013,"McDonald, Marie",2,5,3,1,,7,78,106,185,,1,1,8,2,,,,,,
New Perlican,1,210,2011,2013,"Moyles, Linda",2,5,3,1,,7,81,106,185,,1,1,8,2,,,,,,
New Perlican,1,186,2016,2017,"Burridge, Peter",1,5,3,1,,7,1,1,1,,4,1,.,1,,,,,,
New Perlican,1,186,2016,2017,"Hiscock, Eric",1,5,3,1,,7,1,1,1,,4,2,.,1,,,,,,
New Perlican,1,186,2016,2017,"Martin, Trudi",2,5,3,1,,7,1,1,1,,4,1,.,1,,,,,,
New Perlican,1,186,2016,2017,"McDonald, Marie",2,5,3,1,,7,1,1,1,,4,1,.,1,,,,,,
New Perlican,1,186,2016,2017,"Moyles, Linda",2,5,3,1,,7,1,1,1,,4,1,.,1,,,,,,
New-Wes-Valley,2,"2,485",2006,2009,"Best, Andy",1,.,4,1,,9,1,1,1,,1,1,4,1,,,,,,
New-Wes-Valley,2,"2,485",2006,2009,"Howell, Carl",1,.,4,1,,9,1,1,1,,1,2,0,1,,,,,,
New-Wes-Valley,2,"2,485",2006,2009,"Feltham, George",1,.,3,2,,9,248,559,"2,033",,1,1,16,3,,,,,,
New-Wes-Valley,2,"2,485",2006,2009,"Burry, Grant",1,.,1,1,,9,1,1,1,,1,1,6,1,,,,,,
New-Wes-Valley,2,"2,485",2006,2009,"Hoyles, Kenneth",1,.,3,1,,9,394,559,"2,033",,1,1,10,2,,,,,,
New-Wes-Valley,2,"2,485",2006,2009,"Hill, Morgan",1,.,3,1,,9,306,559,"2,033",,1,1,12,2,,,,,,
New-Wes-Valley,2,"2,485",2006,2009,"Spurrell, Tony",1,.,4,1,,9,1,1,1,,1,1,4,1,,,,,,
New-Wes-Valley,2,"2,485",2006,2009,"Hefferton, Walter",1,.,3,1,,9,279,559,"2,033",,1,1,4,2,,,,,,
New-Wes-Valley,2,"2,485",2006,2009,"Perry, Winston",1,.,3,1,,9,372,559,"2,033",,1,2,8,2,,,,,,
New-Wes-Valley,2,"2,485",2006,2009,"Jones, Myrtle",2,5,3,1,,9,362,559,"2,033",,1,1,8,2,,,,,,
New-Wes-Valley,2,"2,265",2011,2013,"Best, Andy",1,5,4,1,,9,1,340,"1,051",,1,1,8,1,,,,,,
New-Wes-Valley,2,"2,265",2011,2013,"Burry, Grant",1,4,1,1,,9,1,340,"1,051",,1,1,10,1,,,,,,
New-Wes-Valley,2,"2,265",2011,2013,"Gill, Terry J.S.",1,1,3,1,,9,1,340,"1,051",,1,2,0,1,,,,,,
New-Wes-Valley,2,"2,265",2011,2013,"Howell, Carl",1,5,4,2,,9,65,340,"1,051",,1,1,4,3,,,,,,
New-Wes-Valley,2,"2,265",2011,2013,"Hoyles, Kenneth B.",1,5,3,1,,9,1,340,"1,051",,1,1,13,1,,,,,,
New-Wes-Valley,2,"2,265",2011,2013,"MacDonald, Kelvin",1,5,4,1,,9,99,340,"1,051",,1,2,0,2,,,,,,
New-Wes-Valley,2,"2,265",2011,2013,"Perry, Winston",1,5,3,1,,9,1,340,"1,051",,1,1,10,1,,,,,,
New-Wes-Valley,2,"2,265",2011,2013,"Sturge, Erric",1,5,4,2,,9,92,340,"1,051",,1,2,0,3,,,,,,
New-Wes-Valley,2,"2,265",2011,2013,"Tiller, Michael",1,2,3,1,,9,1,340,"1,051",,1,2,0,1,,,,,,
New-Wes-Valley,2,"2,265",2011,2013,"Gill, Louisa",2,4,4,1,,9,77,340,"1,051",,1,2,0,2,,,,,,
New-Wes-Valley,2,"2,265",2011,2013,"Jones, Myrtle",2,5,3,1,,9,1,340,"1,051",,1,1,12,1,,,,,,
New-Wes-Valley,2,"2,172",2016,2017,"Hoyles, Kenneth",1,5,1,1,,9,348,"1,047","1,809",,1,.,.,2,,,,,,
New-Wes-Valley,2,"2,172",2016,2017,"Burry, Grant",1,5,1,2,,9,277,"1,047","1,809",,1,.,.,3,,,,,,
New-Wes-Valley,2,"2,172",2016,2017,"Sturge, Eric",1,5,1,2,,9,272,"1,047","1,809",,1,.,.,3,,,,,,
New-Wes-Valley,2,"2,172",2016,2017,"MacDonald, Kelvin",1,5,4,1,,9,1,1,1,,4,.,.,1,,,,,,
New-Wes-Valley,2,"2,172",2016,2017,"Cox, James",1,5,4,1,,9,1,1,1,,4,.,.,1,,,,,,
New-Wes-Valley,2,"2,172",2016,2017,"Tiller, Michael",1,.,3,1,,9,576,"1,047","1,809",,1,.,.,2,,,,,,
New-Wes-Valley,2,"2,172",2016,2017,"Perry, Winston",1,.,3,2,,9,454,"1,047","1,809",,1,.,.,3,,,,,,
New-Wes-Valley,2,"2,172",2016,2017,"Welcher, Lorenzo",1,.,3,1,,9,494,"1,047","1,809",,1,.,.,2,,,,,,
New-Wes-Valley,2,"2,172",2016,2017,"Best, Andy",1,.,3,1,,9,457,"1,047","1,809",,1,.,.,2,,,,,,
New-Wes-Valley,2,"2,172",2016,2017,"Gill, Terry",1,.,3,1,,9,501,"1,047","1,809",,1,.,.,2,,,,,,
New-Wes-Valley,2,"2,172",2016,2017,"March, Beverly",2,.,3,2,,9,432,"1,047","1,809",,1,2,.,3,,,,,,
New-Wes-Valley,2,"2,172",2016,2017,"Stagg, Dawn",2,.,3,1,,9,533,"1,047","1,809",,1,2,.,2,,,,,,
Nipper's Harbour,2,151,2006,2009,"Dolland, Lloyd",1,.,3,1,,5,1,1,1,,4,1,2,1,,,,,,
Nipper's Harbour,2,151,2006,2009,"Starkes, Rex",1,.,3,1,,5,1,1,1,,4,2,0,1,,,,,,
Nipper's Harbour,2,151,2006,2009,"Gray, Stanley",1,.,3,1,,5,1,1,1,,4,2,0,1,,,,,,
Nipper's Harbour,2,151,2006,2009,"Noble, Ted",1,.,3,1,,5,1,1,1,,4,1,13,1,,,,,,
Nipper's Harbour,2,151,2006,2009,"Perry, William",1,.,3,1,,5,1,1,1,,4,1,7,1,,,,,,
Nipper's Harbour,2,85,2016,2017,"Dollard, Lloyd",1,4,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Nipper's Harbour,2,85,2016,2017,"Gray, Stanley",1,4,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Nipper's Harbour,2,85,2016,2017,"Noble, Ted",1,5,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Nipper's Harbour,2,85,2016,2017,"Prole, Edward",1,5,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Nipper's Harbour,2,85,2016,2017,"Starks, Rex",1,5,3,1,,5,1,1,1,,4,2,.,1,,,,,,
Norman's Cove-Long Cove,1,773,2006,2009,"Drake, Barry",1,3,3,1,,6,109,149,630,,1,1,8,2,,,,,,
Norman's Cove-Long Cove,1,773,2006,2009,"Hudson, Corey",1,1,3,1,,6,118,149,630,,1,2,0,2,,,,,,
Norman's Cove-Long Cove,1,773,2006,2009,"White, Garfield, H.",1,4,3,2,,6,59,149,630,,1,2,1,3,,,,,,
Norman's Cove-Long Cove,1,773,2006,2009,"Bond, Gerald",1,4,3,1,,6,97,149,630,,1,1,2,2,,,,,,
Norman's Cove-Long Cove,1,773,2006,2009,"Newhook, Robert, L.",1,4,3,1,,6,122,149,630,,1,1,4,2,,,,,,
Norman's Cove-Long Cove,1,773,2006,2009,"Hurley, William",1,4,3,1,,6,99,149,630,,1,1,2,2,,,,,,
Norman's Cove-Long Cove,1,773,2006,2009,"Temple, Allison",2,5,3,1,,6,83,149,630,,1,1,30,2,,,,,,
Norman's Cove-Long Cove,1,773,2006,2009,"Bennett, Eva",2,5,1,1,,6,1,149,630,,1,1,9,1,,,,,,
Norman's Cove-Long Cove,1,720,2011,2013,"Murphy, Adrian",1,5,3,1,,7,146,234,573,,1,2,.,2,,,,,,
Norman's Cove-Long Cove,1,720,2011,2013,"Drake, Barry",1,.,3,1,,7,132,234,573,,1,1,.,2,,,,,,
Norman's Cove-Long Cove,1,720,2011,2013,"Hudson, Corey",1,.,3,1,,7,144,234,573,,1,1,.,2,,,,,,
Norman's Cove-Long Cove,1,720,2011,2013,"Newhook, Elwood",1,.,3,2,,7,99,234,573,,1,2,.,3,,,,,,
Norman's Cove-Long Cove,1,720,2011,2013,"Bond, Gerald",1,5,3,2,,7,89,234,573,,1,1,.,3,,,,,,
Norman's Cove-Long Cove,1,720,2011,2013,"Brenton, Henry",1,5,3,1,,7,142,234,573,,1,2,.,2,,,,,,
Norman's Cove-Long Cove,1,720,2011,2013,"Newhook, Robert",1,.,3,1,,7,173,234,573,,1,1,.,2,,,,,,
Norman's Cove-Long Cove,1,720,2011,2013,"Newhook, Lela",2,.,3,1,,7,163,234,573,,1,2,.,2,,,,,,
Norman's Cove-Long Cove,1,720,2011,2013,"Smith, Linda",2,.,3,1,,7,171,234,573,,1,2,.,2,,,,,,
Norman's Cove-Long Cove,1,666,2016,2017,"Bond, Gerald",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Norman's Cove-Long Cove,1,666,2016,2017,"Brenton, Henry",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Norman's Cove-Long Cove,1,666,2016,2017,"Callan, Wilson",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Norman's Cove-Long Cove,1,666,2016,2017,"Drake, Barry",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Norman's Cove-Long Cove,1,666,2016,2017,"Hudson, Corey",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Norman's Cove-Long Cove,1,666,2016,2017,"Smith, Edward",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Norman's Cove-Long Cove,1,666,2016,2017,"Newhook, Lela",2,5,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Norris Arm,2,911,2006,2009,"McLoughlin, Angus",1,.,3,1,,7,1,1,1,,3,1,24,1,,,,,,
Norris Arm,2,911,2006,2009,"Manuel, Chris",1,.,3,1,,7,1,1,1,,3,1,12,1,,,,,,
Norris Arm,2,911,2006,2009,"Snow, Lloyd",1,.,3,1,,7,1,1,1,,3,1,8,1,,,,,,
Norris Arm,2,911,2006,2009,"Ryan, Bernice",2,4,3,1,,7,1,1,1,,3,2,0,1,,,,,,
Norris Arm,2,911,2006,2009,"Senter, Florence",2,4,3,1,,7,1,1,1,,3,2,0,1,,,,,,
Norris Arm,2,912,2011,2013,"Manuel, Chris",1,5,3,1,,7,1,7,.,,1,1,16,1,,,,,,
Norris Arm,2,912,2011,2013,"McLoughlan, Angus",1,5,3,1,,7,1,7,.,,1,1,28,1,,,,,,
Norris Arm,2,912,2011,2013,"Sentner, Roger",1,4,3,1,,7,1,7,.,,1,2,0,1,,,,,,
Norris Arm,2,912,2011,2013,"Higgin, Tracy Carol",2,5,3,1,,7,1,7,.,,1,2,0,1,,,,,,
Norris Arm,2,912,2011,2013,"Purchase, Janet",2,3,3,1,,7,1,7,.,,1,2,0,1,,,,,,
Norris Arm,2,912,2011,2013,"Ryan, Bernice",2,4,3,1,,7,1,7,.,,1,1,4,1,,,,,,
Norris Arm,2,912,2011,2013,"Stuckless, Marie",2,4,3,1,,7,1,7,.,,1,2,0,1,,,,,,
Norris Arm,2,737,2016,2017,"Ryan, Leonard",1,5,3,2,,7,34,361,610,,1,2,.,3,,,,,,
Norris Arm,2,737,2016,2017,"Hollett, Clay",1,3,3,2,,7,138,361,610,,1,2,.,3,,,,,,
Norris Arm,2,737,2016,2017,"Rowsell, Ross",1,4,3,1,,7,246,361,610,,1,1,.,2,,,,,,
Norris Arm,2,737,2016,2017,"Saunders, Donald",1,5,3,1,,7,157,361,610,,1,2,.,2,,,,,,
Norris Arm,2,737,2016,2017,"Saunders, John",1,4,3,1,,7,145,361,610,,1,1,.,2,,,,,,
Norris Arm,2,737,2016,2017,"Saunders, Rodney",1,4,3,1,,7,214,361,610,,1,2,.,2,,,,,,
Norris Arm,2,737,2016,2017,"Randell, Chad",1,3,3,1,,7,173,361,610,,1,2,.,2,,,,,,
Norris Arm,2,737,2016,2017,"Quick, William, Jr.",1,3,3,2,,7,137,361,610,,1,2,.,3,,,,,,
Norris Arm,2,737,2016,2017,"Hollett, Jessica",2,2,3,2,,7,99,361,610,,1,2,.,3,,,,,,
Norris Arm,2,737,2016,2017,"Collins, Nicole",2,2,3,2,,7,123,361,610,,1,2,.,3,,,,,,
Norris Arm,2,737,2016,2017,"Osmond, Kay",2,2,3,2,,7,116,361,610,,1,2,.,3,,,,,,
Norris Arm,2,737,2016,2017,"Stuckless, Mary Ellen",2,5,3,2,,7,54,361,610,,1,2,.,3,,,,,,
Norris Arm,2,737,2016,2017,"McDonald, Sarah",2,5,3,2,,7,115,361,610,,1,1,.,3,,,,,,
Norris Arm,2,737,2016,2017,"Purchase, Janet",2,2,3,1,,7,158,361,610,,1,2,.,2,,,,,,
Norris Arm,2,737,2016,2017,"Card Higgins, Tracy",2,3,3,1,,7,180,361,610,,1,1,.,2,,,,,,
Norris Point,3,699,2006,2009,"Laing, Boyd A.",1,4,3,1,,7,1,1,1,,3,2,.,1,,,,,,
Norris Point,3,699,2006,2009,"Hynes, David",1,,3,1,,7,170,"1,864",,,3,,.,2,,,,,,
Norris Point,3,699,2006,2009,"Tucker, George",1,,3,1,,7,166,"1,864",,,3,,.,2,,,,,,
Norris Point,3,699,2006,2009,"Bugdon, Gerald",1,,3,2,,7,101,"1,864",,,3,,.,3,,,,,,
Norris Point,3,699,2006,2009,"Neil, Howard",1,,3,1,,7,256,"1,864",,,3,,.,2,,,,,,
Norris Point,3,699,2006,2009,"Watts, Howard",1,,3,1,,7,256,"1,864",,,3,,.,2,,,,,,
Norris Point,3,699,2006,2009,"Reid, Raymond",1,,3,2,,7,30,"1,864",,,3,,.,3,,,,,,
Norris Point,3,699,2006,2009,"Mudge, Reginald",1,,3,1,,7,168,"1,864",,,3,,.,2,,,,,,
Norris Point,3,699,2006,2009,"Parsons, Sandy",1,,3,2,,7,72,"1,864",,,3,,.,3,,,,,,
Norris Point,3,699,2006,2009,"Delaney, Terry",1,,3,1,,7,240,"1,864",,,3,,.,2,,,,,,
Norris Point,3,699,2006,2009,"Sacrey, Zach",1,,3,2,,7,146,"1,864",,,3,,.,3,,,,,,
Norris Point,3,699,2006,2009,"Kerri, Gwen",2,,3,2,,7,150,"1,864",,,3,,.,3,,,,,,
Norris Point,3,699,2006,2009,"Hynes, Marie",2,,3,2,,7,90,"1,864",,,3,,.,3,,,,,,
Norris Point,3,699,2006,2009,"Stone, Marie",2,,3,2,,7,19,"1,864",,,3,,.,3,,,,,,
Norris Point,3,685,2011,2013,"Maynard, Cecil",1,.,3,2,,7,65,.,.,,1,2,0,3,,,,,,
Norris Point,3,685,2011,2013,"Laing, Fred",1,.,3,2,,7,146,.,.,,1,2,2,3,,,,,,
Norris Point,3,685,2011,2013,"Tucker, George",1,5,3,1,,7,211,.,.,,1,1,7,2,,,,,,
Norris Point,3,685,2011,2013,"Stone, Ian",1,.,3,1,,7,254,.,.,,1,2,0,2,,,,,,
Norris Point,3,685,2011,2013,"Reid, Joseph",1,.,3,1,,7,299,.,.,,1,2,4,2,,,,,,
Norris Point,3,685,2011,2013,"Mudge, Reginald",1,5,3,1,,7,252,.,.,,1,1,4,2,,,,,,
Norris Point,3,685,2011,2013,"Maynard, Robert",1,.,3,1,,7,216,.,.,,1,2,0,2,,,,,,
Norris Point,3,685,2011,2013,"Smith, Todd",1,.,3,1,,7,213,.,.,,1,2,0,2,,,,,,
Norris Point,3,685,2011,2013,"Major, Victor",1,.,3,1,,7,209,.,.,,1,2,0,2,,,,,,
Norris Point,3,685,2011,2013,"Rose, Colleen",2,4,3,2,,7,125,.,.,,1,2,0,3,,,,,,
Norris Point,3,670,2016,2017,"Bellows, Eugene",1,.,3,1,,7,158,329,571,,1,.,.,2,,,,,,
Norris Point,3,670,2016,2017,"Burridge, Rudy",1,.,3,1,,7,207,329,571,,1,.,.,2,,,,,,
Norris Point,3,670,2016,2017,"Laing, Fred",1,.,3,2,,7,133,329,571,,1,.,.,3,,,,,,
Norris Point,3,670,2016,2017,"Major, Victor",1,.,3,1,,7,180,329,571,,1,.,.,2,,,,,,
Norris Point,3,670,2016,2017,"McCarthy, Vincent",1,.,3,2,,7,108,329,571,,1,.,.,3,,,,,,
Norris Point,3,670,2016,2017,"Reid, Joseph",1,.,3,1,,7,266,329,571,,1,.,.,2,,,,,,
Norris Point,3,670,2016,2017,"Stratton, Donald",1,.,3,2,,7,114,329,571,,1,.,.,3,,,,,,
Norris Point,3,670,2016,2017,"Tucker, George",1,.,3,1,,7,174,329,571,,1,.,.,2,,,,,,
Norris Point,3,670,2016,2017,"Brushett, Rebecca",2,.,3,2,,7,94,329,571,,1,.,.,3,,,,,,
Norris Point,3,670,2016,2017,"Bugden, Caroline",2,.,3,1,,7,220,329,571,,1,.,.,2,,,,,,
Norris Point,3,670,2016,2017,"Payne, Jocelyn",2,.,3,1,,7,218,329,571,,1,.,.,2,,,,,,
Norris Point,3,670,2016,2017,"Solo, Carla",2,.,3,2,,7,135,329,571,,1,.,.,3,,,,,,
North River,1,557,2006,2009,"Hurley, Blair",1,3,3,1,,7,137,222,436,,1,1,4,2,,,,,,
North River,1,557,2006,2009,"Hurley, Brian",1,3,3,1,,7,126,222,436,,1,1,4,2,,,,,,
North River,1,557,2006,2009,"Moore, Dale",1,3,3,2,,7,43,222,436,,1,2,0,3,,,,,,
North River,1,557,2006,2009,"Snow, Dwight",1,4,3,1,,7,136,222,436,,1,1,4,2,,,,,,
North River,1,557,2006,2009,"Cummings, James",1,4,3,2,,7,56,222,436,,1,2,0,3,,,,,,
North River,1,557,2006,2009,"Newell, John M.",1,5,3,2,,7,70,222,436,,1,2,0,3,,,,,,
North River,1,557,2006,2009,"Newell, William B.",1,5,3,2,,7,60,222,436,,1,2,0,3,,,,,,
North River,1,557,2006,2009,"Morissey, Elsie",2,4,3,1,,7,108,222,436,,1,2,0,2,,,,,,
North River,1,557,2006,2009,"Dawson, Pauline",2,5,3,1,,7,117,222,436,,1,1,16,2,,,,,,
North River,1,557,2006,2009,"Greenland, Rita",2,4,3,1,,7,118,222,436,,1,2,0,2,,,,,,
North River,1,557,2006,2009,"Power, Sheila",2,5,3,1,,7,161,222,436,,1,1,1,2,,,,,,
North River,1,562,2011,2013,"Hurley, Blair",1,.,3,1,,7,148,229,427,,1,1,8,2,,,,,,
North River,1,562,2011,2013,"Hurley, Brian",1,.,3,1,,7,114,229,427,,1,1,8,2,,,,,,
North River,1,562,2011,2013,"Snow, Dwight",1,.,3,1,,7,162,229,427,,1,1,8,2,,,,,,
North River,1,562,2011,2013,"Dawson, Edward",1,5,3,2,,7,46,229,427,,1,2,0,3,,,,,,
North River,1,562,2011,2013,"Cummings, Jim",1,5,3,2,,7,49,229,427,,1,2,0,3,,,,,,
North River,1,562,2011,2013,"Newell, Joh",1,4,3,2,,7,94,229,427,,1,1,3,3,,,,,,
North River,1,562,2011,2013,"Mackey, Patrick",1,4,3,1,,7,111,229,427,,1,2,0,2,,,,,,
North River,1,562,2011,2013,"Morrisey, Elise",2,.,3,1,,7,115,229,427,,1,1,4,2,,,,,,
North River,1,562,2011,2013,"Greenland, Rita",2,.,3,1,,7,99,229,427,,1,2,0,2,,,,,,
North River,1,562,2011,2013,"Power, Shelia",2,.,3,1,,7,117,229,427,,1,1,8,2,,,,,,
North River,1,570,2016,2017,"Hurley, Blair",1,.,3,1,,7,169,294,508,,1,.,.,2,,,,,,
North River,1,570,2016,2017,"Hurley, Brian",1,.,3,1,,7,126,294,508,,1,.,.,2,,,,,,
North River,1,570,2016,2017,"Lundrigan, John",1,.,3,2,,7,51,294,508,,1,.,.,3,,,,,,
North River,1,570,2016,2017,"Mackey, Patrick",1,.,3,1,,7,138,294,508,,1,.,.,2,,,,,,
North River,1,570,2016,2017,"Newell, John",1,.,3,2,,7,64,294,508,,1,.,.,3,,,,,,
North River,1,570,2016,2017,"Snow, Dwight",1,.,3,1,,7,201,294,508,,1,.,.,2,,,,,,
North River,1,570,2016,2017,"Hurley, Gervase",1,.,3,2,,7,51,294,508,,1,.,.,3,,,,,,
North River,1,570,2016,2017,"Callahan, James",1,.,3,2,,7,21,294,508,,1,.,.,3,,,,,,
North River,1,570,2016,2017,"Hall, Kelly",2,.,3,1,,7,166,294,508,,1,.,.,2,,,,,,
North River,1,570,2016,2017,"Morrissey, Elsie",2,.,3,1,,7,143,294,508,,1,.,.,2,,,,,,
